date,season,neutral,playoff,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,carm-elo1_pre,carm-elo2_pre,carm-elo_prob1,carm-elo_prob2,carm-elo1_post,carm-elo2_post,raptor1_pre,raptor2_pre,raptor_prob1,raptor_prob2,score1,score2,quality,importance,total_rating
10/29/2022,2023,0,,SAC,MIA,1383.953501,1582.428584,0.36195979864237127,0.6380402013576287,1394.664931,1571.717153,,,,,,,1445.835378,1604.154468,0.377089172,0.622910828,119,113,59,22,41
10/29/2022,2023,0,,CHO,GSW,1530.064852,1639.677035,0.4861704841217408,0.5138295158782592,1538.777302,1630.964585,,,,,,,1404.25582,1607.465487,0.283112876,0.716887124,120,113,50,29,40
10/29/2022,2023,0,,BRK,IND,1494.223702,1397.053495,0.7567609935800274,0.24323900641997265,1476.732313,1414.544885,,,,,,,1559.797562,1433.728877,0.803185683,0.196814317,116,125,48,26,37
10/29/2022,2023,0,,MIL,ATL,1604.02488,1541.234706,0.7185126028226572,0.28148739717734284,1608.547334,1536.712252,,,,,,,1600.613885,1591.500302,0.621678766,0.378321234,123,115,84,15,50
10/29/2022,2023,0,,CHI,PHI,1459.575852,1576.215169,0.4760723890150545,0.5239276109849456,1452.963274,1582.827746,,,,,,,1496.197804,1622.585943,0.422337832,0.577662168,109,114,73,40,57
10/29/2022,2023,0,,DAL,OKC,1618.545467,1379.832443,0.8754236214944965,0.12457637850550352,1599.974443,1398.403467,,,,,,,1625.010709,1367.417652,0.866271352,0.133728648,111,117,44,4,24
10/29/2022,2023,0,,UTA,MEM,1555.868172,1605.714081,0.5716803283091894,0.42831967169081064,1559.197066,1602.385187,,,,,,,1471.769484,1579.328472,0.437000791,0.562999209,124,123,60,37,49
10/30/2022,2023,0,,LAC,NOP,1488.938738,1566.170843,0.5327188121210005,0.4672811878789995,1470.547157,1584.562424,,,,,,,1516.766028,1551.899257,0.546463141,0.453536859,91,112,65,65,65
10/30/2022,2023,0,,CLE,NYK,1542.565541,1527.197141,0.6601839111677276,0.33981608883227243,1550.189294,1519.573388,,,,,,,1518.850349,1539.388627,0.577886362,0.422113638,121,108,63,57,60
10/30/2022,2023,0,,BOS,WAS,1632.257192,1439.205543,0.843821434,0.15617856613416303,1636.111045,1435.35169,,,,,,,1664.526348,1446.883785,0.841889036,0.158110964,112,94,70,8,39
